Title,Author,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
Full Disclosure,"Garrett, Camryn",,,,Florida,Collier County Public Schools,June 2024,Banned,Formal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,Florida,Jackson County School District,April 2022,Banned in Libraries and Classrooms,Administrator
"Assassination Classroom, Vol. 17","Matsui, Yūsei",,,,Florida,School District of Osceola County,May 2023,Banned from Libraries and Classrooms,Formal Challenge
The Absolutely True Diary of a Part-Time Indian,"Alexie, Sherman",,"Forney, Ellen",,Iowa,South Tama County Community School District,December 2023,Banned,Administration
Godless,"Hautman, Pete",,,,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
The Bluest Eye,"Morrison, Toni",,,,Florida,Highlands Schools,September 2022,Banned Pending Investigation,Informal Challenge
Written in My Own Heart's Blood,"Gabaldon, Diana",,,,Florida,Escambia County Public Schools,August 2023,Banned pending investigation,Administration
We Are All Liars,"Jones, Carys",,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Out of Darkness,"Pérez, Ashley Hope",,,,Virginia,Henrico County Public Schools,October 2021,Banned Pending Investigation,Administrator
White Hot Kiss,"Armentrout, Jennifer L.",,,,Florida,Clay County School District,October 2023,Banned,Formal Challenge
"Finding Me: A Decade of Darkness, A Life Reclaimed: A Memoir","Knight, Michelle","Burford, Michelle",,,Texas,Conroe Independent School District,January 2024,Banned,Informal Challenge
Keeping Faith,"Picoult, Jodi",,,,Florida,Martin County Schools,February 2023,Banned from Libraries and Classrooms,Formal Challenge
When Aidan Became a Brother,"Lukoff, Kyle",,"Juanita, Kaylani",,Florida,Seminole County Public Schools,September 2023,Banned by restriction,Administration
Brave New World,"Huxley, Aldous",,,,Iowa,Roland-Story Community School District,June 2024,Banned,Administration
All the Things We Do in the Dark,"Mitchell, Saundra",,,,Florida,Escambia County Public Schools,September 2022,Banned Pending Investigation,Formal Challenge
Rick,"Gino, Alex",,,,Iowa,Adel DeSoto Minburn Community School District,June 2024,Banned,Administration
Ramona Blue,"Murphy, Julie",,,,Florida,Seminole County Public Schools,April 2024,Banned,Administration
Stamped from the Beginning: The Definitive History of Racist Ideas in America,"Kendi, Ibram X.",,,,Texas,Klein Independent School District,August 2023,Banned,Administration
Special Topics in Calamity Physics,"Pessl, Marisha",,,,Wisconsin,Elkhorn Area School District,November 2023,Banned pending investigation,"Informal Challenge, Administration"
All Boys Aren't Blue,"Johnson, George M.",,,,Iowa,Norwalk Community School District,October 2023,Banned pending investigation,Administration
The Syndicate,"Combs, Teshelle",,,,Florida,Lee County Schools,June 2024,Banned by restriction,Administration
Two Boys Kissing,"Levithan, David",,,,Florida,Collier County Public Schools,March 2023,Banned from Libraries,Administration
"Red, White, and Royal Blue","McQuiston, Casey",,,,Iowa,Waverly-Shell Rock Community School District,October 2023,Banned,Administration
